,Акция,Сектор,Период,Выплата на акцию (прогноз),Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),"Капитализация, млн. руб.",DSI
201,Акрон,Химия,9 месяцев 2024,132.3,0.87%,15226.0,14.01.2025,559 664.46,0.29
202,Банк Санкт-Петербург-ап,Финансы и Банки,всего 12м,0.44,0.85%,51.65,,173 285.19,0.39
203,Левенгук,Разное,годовые 2024,0.3265,0.85%,38.5,28.06.2025,2 038.19,0.89
204,Диасофт,ПО и IT,6 месяцев 2024,38.35,0.78%,4904.0,25.10.2024,51 492.00,0.07
205,Левенгук,Разное,9 месяцев 2024,0.2992,0.78%,38.5,15.12.2024,2 038.19,0.89
206,Банк Санкт-Петербург-ап,Финансы и Банки,годовые 2024,0.22,0.43%,51.65,06.05.2025,173 285.19,0.39
207,Банк Санкт-Петербург-ап,Финансы и Банки,I полугодие 2024,0.22,0.43%,51.65,09.10.2024,173 285.19,0.39
208,Globaltrans,Логистика,I полугодие 2024,0.0,0%,601.1,07.09.2024,61 390.26,0.0
209,Globaltrans,Логистика,всего 12м,0.0,0%,601.1,,61 390.26,0.0
210,Норильский никель,Металлы и добыча,I полугодие 2024,0.0,0%,129.38,07.10.2024,1 977 746.63,0.5
211,Россети Урал (МРСК Урала),Энергетика,I квартал 2025,0.0,0%,0.43,14.06.2025,37 595.11,0.29
212,Русагро,Продовольствие,годовые 2024,0.0,0%,1285.6,12.05.2025,70 486.23,0.0
213,Полиметалл,Металлы и добыча,II полугодие 2024,0.0,0%,221.1,06.05.2025,116 903.23,0.0
214,Полиметалл,Металлы и добыча,I полугодие 2024,0.0,0%,221.1,10.09.2024,116 903.23,0.0
215,X5 Retail Group,Розничная торговля,9 месяцев 2024,0.0,0%,2798.0,17.12.2024,0.00,0.0
216,Полиметалл,Металлы и добыча,всего 12м,0.0,0%,221.1,,116 903.23,0.0
217,НМТП,Логистика,9 месяцев 2024,0.0,0%,9.11,09.01.2025,175 360.62,0.29
218,НКНХ-п,Химия,I полугодие 2024,0.0,0%,69.62,05.12.2024,159 130.81,0.5
219,Группа Позитив,ПО и IT,специальные,0.0,0%,2952.2,20.04.2025,194 845.20,0.29
220,Транснефть-п,Нефть/Газ,I полугодие 2024,0.0,0%,1388.0,19.10.2024,215 816.65,0.64
221,Химпром-п,Химия,годовые 2024,0.0,0%,26.48,11.07.2025,6 080.64,0.2
