,TRADE_CODE,issue_date,stopped_date
734,RU000A10EHC1,2026-03-11,
735,RU000A1089G0,2024-04-12,
736,RU000A1026H0,2020-10-02,
737,RU000A10BQF1,2025-06-04,
738,RU000A10C5T0,2025-07-23,
739,RU000A10C5U8,2025-07-23,
740,RU000A10EMT5,2026-03-23,
741,RU000A105YB1,2023-03-16,
742,RU000A106K27,2023-07-17,
743,RU000A10EG28,2026-03-06,
744,RU000A10DY01,2025-12-26,
745,RU000A10EHJ6,2026-03-11,
746,RU000A106Z38,2023-10-03,
747,RU000A108TU5,2024-06-25,
748,RU000A109981,2024-08-16,
749,RU000A10B1Q6,2025-03-10,
