,Акция,Сектор,Период,Выплата на акцию (прогноз),Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),"Капитализация, млн. USD",DSI
289,Globaltrans,Логистика,II полугодие 2024,0.0,0%,629.15,29.04.2025,64 255.00,0.0
290,Globaltrans,Логистика,I полугодие 2024,0.0,0%,629.15,07.09.2024,64 255.00,0.0
291,Globaltrans,Логистика,всего 12м,0.0,0%,629.15,,64 255.00,0.0
292,Норильский никель,Металлы и добыча,I полугодие 2024,0.0,0%,133.68,07.10.2024,2 043 477.89,0.5
293,Россети Урал (МРСК Урала),Энергетика,I квартал 2025,0.0,0%,0.469,14.06.2025,41 004.90,0.29
294,Русагро,Продовольствие,годовые 2024,0.0,0%,1392.2,12.05.2025,76 330.85,0.0
295,Полиметалл,Металлы и добыча,II полугодие 2024,0.0,0%,211.1,06.05.2025,111 615.89,0.0
296,Полиметалл,Металлы и добыча,I полугодие 2024,0.0,0%,211.1,10.09.2024,111 615.89,0.0
297,Полиметалл,Металлы и добыча,всего 12м,0.0,0%,211.1,,111 615.89,0.0
298,НМТП,Логистика,9 месяцев 2024,0.0,0%,10.37,09.01.2025,199 627.99,0.29
299,НКНХ-п,Химия,I полугодие 2024,0.0,0%,74.0,05.12.2024,171 610.44,0.5
