,Акция,Сектор,Период,Выплата на акцию (прогноз),Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),"Капитализация, млн. USD",DSI
134,Полюс,Металлы и добыча,всего 12м,401.31,3.24%,12367.5,,1 682 838.30,0.0
135,Полюс,Металлы и добыча,I полугодие 2024,401.31,3.24%,12367.5,07.10.2024,1 682 838.30,0.0
136,Селигдар ао,Металлы и добыча,годовые 2024,2.0,3.24%,61.82,15.06.2025,63 674.60,0.43
137,Селигдар ао,Металлы и добыча,всего 12м,2.0,3.24%,61.82,,63 674.60,0.43
138,НКХП,Логистика,9 месяцев 2024,28.47,3.19%,891.5,08.01.2025,60 262.73,0.29
139,ММК,Металлы и добыча,II квартал 2024,1.73,3.14%,55.25,27.09.2024,617 381.73,0.07
140,НКНХ-ао,Химия,всего 12м,2.94,3.05%,96.45,,171 610.44,0.5
141,НКНХ-ао,Химия,годовые 2023,2.94,3.05%,96.45,09.07.2024,171 610.44,0.5
142,ТГК-14,Энергетика,годовые 2024,0.0003466,3.05%,0.0114,04.06.2025,15 453.42,0.14
143,Северсталь,Металлы и добыча,II квартал 2024,47.75,3.03%,1576.0,02.09.2024,1 320 244.61,0.07
144,Инарктика (РусАква),Продовольствие,II квартал 2024,25.0,2.96%,845.0,22.09.2024,74 255.77,0.57
145,Инарктика (РусАква),Продовольствие,9 месяцев 2024,25.0,2.96%,845.0,09.12.2024,74 255.77,0.57
146,Камаз,Машиностроение,годовые 2023,4.49,2.85%,157.4,16.07.2024,111 317.93,0.14
147,НоваБев Групп (Белуга Групп),Продовольствие,годовые 2024,162.95,2.85%,5713.0,12.05.2025,90 265.40,0.57
148,Сургутнефтегаз-ао,Нефть/Газ,годовые 2023,0.85,2.79%,30.45,18.07.2024,1 617 074.76,0.86
149,Группа Позитив,ПО и IT,годовые 2024,85.79,2.79%,3073.0,24.05.2025,202 818.00,0.29
150,Газпром нефть,Нефть/Газ,годовые 2023,19.49,2.79%,699.1,08.07.2024,3 314 642.58,0.71
151,Fix Price,Розничная торговля,I полугодие 2024,7.36,2.73%,269.8,24.09.2024,229 330.00,0.07
152,Fix Price,Розничная торговля,II полугодие 2024,7.36,2.73%,269.8,26.01.2025,229 330.00,0.07
153,ММК,Металлы и добыча,IV квартал 2024,1.44,2.61%,55.25,10.06.2025,617 381.73,0.07
154,ГК Самолет,Строительство,всего 12м,81.2,2.6%,3119.5,,192 096.81,0.0
155,Диасофт,ПО и IT,9 месяцев 2024,135.85,2.45%,5549.5,21.03.2025,58 269.75,0.07
156,Whoosh,Разное,9 месяцев 2024,7.0,2.36%,296.48,04.12.2024,33 022.66,0.07
157,Саратовский НПЗ-ап,Нефть/Газ,годовые 2023,240.67,2.33%,10320.0,08.07.2024,2 573.16,0.29
158,Фосагро,Химия,III квартал 2024,138.51,2.33%,5950.0,25.12.2024,770 525.00,0.5
159,Ренессанс Страхование,Финансы и Банки,годовые 2023,2.3,2.32%,99.24,05.07.2024,55 271.99,0.14
160,Россети Ленэнерго-ао,Энергетика,годовые 2023,0.4249,2.31%,18.43,02.07.2024,176 380.42,0.5
161,Россети Ленэнерго-ао,Энергетика,всего 12м,0.4249,2.31%,18.43,,176 380.42,0.5
162,НоваБев Групп (Белуга Групп),Продовольствие,9 месяцев 2024,128.73,2.25%,5713.0,27.12.2024,90 265.40,0.57
163,ЭсЭфАй (Сафмар),Финансы и Банки,всего 12м,28.32,2.13%,1327.0,,148 143.35,0.14
164,АФК Система,Разное,годовые 2023,0.52,2.13%,24.43,17.07.2024,235 720.55,0.2
165,АФК Система,Разное,всего 12м,0.52,2.13%,24.43,,235 720.55,0.2
166,Акрон,Химия,всего 12м,311.05,1.99%,15600.0,,573 411.63,0.29
167,Куйбышевазот-п,Химия,I полугодие 2024,11.31,1.97%,574.5,03.10.2024,137 273.87,0.43
168,Куйбышевазот-п,Химия,годовые 2024,11.31,1.97%,574.5,27.05.2025,137 273.87,0.43
169,Куйбышевазот,Химия,I полугодие 2024,11.31,1.96%,577.2,03.10.2024,137 273.87,0.43
170,Куйбышевазот,Химия,годовые 2024,11.31,1.96%,577.2,27.05.2025,137 273.87,0.43
171,Центральный телеграф-п,Телекомы,годовые 2023,0.189,1.86%,10.14,01.07.2024,2 991.01,0.2
172,Фосагро,Химия,II квартал 2024,110.8,1.86%,5950.0,11.10.2024,770 525.00,0.5
173,Мать и дитя,Разное,I квартал 2025,15.04,1.81%,830.1,20.06.2025,62 361.27,0.0
174,Делимобиль,Транспорт,1 полугодие 2024,5.28,1.73%,306.0,01.10.2024,53 809.81,0.0
175,Делимобиль,Транспорт,всего 12м,5.28,1.73%,306.0,,53 809.81,0.0
176,ВСМПО-АВИСМА,Металлы и добыча,годовые 2024,563.57,1.67%,33780.0,03.06.2025,389 467.79,0.15
177,ВСМПО-АВИСМА,Металлы и добыча,всего 12м,563.57,1.67%,33780.0,,389 467.79,0.15
178,HENDERSON,Розничная торговля,I полугодие 2024,11.83,1.65%,719.3,15.10.2024,29 091.69,0.07
179,Евротранс,Нефть/Газ,I квартал 2024,2.5,1.46%,170.95,09.07.2024,27 206.46,0.07
180,Левенгук,Разное,всего 12м,0.6257,1.41%,44.5,,2 355.83,0.89
181,Группа Астра,ПО и IT,I квартал 2024,7.89,1.35%,582.45,09.07.2024,122 314.50,0.0
182,ГК Самолет,Строительство,I полугодие 2024,40.6,1.3%,3119.5,12.10.2024,192 096.81,0.0
183,ГК Самолет,Строительство,9 месяцев 2024,40.6,1.3%,3119.5,10.12.2024,192 096.81,0.0
184,Центральный телеграф-ао,Телекомы,годовые 2023,0.189,1.29%,14.62,08.07.2024,2 991.01,0.0
185,Займер,Финансы и Банки,I квартал 2025,2.52,1.28%,196.9,09.06.2025,19 690.00,0.07
186,Элемент,Разное,годовые 2023,0.0024397,1.24%,0.1971,11.07.2024,92 592.30,0.0
187,Абрау-Дюрсо,Продовольствие,годовые 2023,3.27,1.22%,268.6,17.07.2024,26 322.85,0.71
188,Инарктика (РусАква),Продовольствие,I квартал 2024,10.0,1.18%,845.0,08.07.2024,74 255.77,0.57
189,Инарктика (РусАква),Продовольствие,IV квартал 2023,10.0,1.18%,845.0,08.07.2024,74 255.77,0.57
190,Акрон,Химия,годовые 2024,177.74,1.14%,15600.0,19.05.2025,573 411.63,0.29
191,ЭсЭфАй (Сафмар),Разное,9 месяцев 2024,14.16,1.07%,1327.0,14.12.2024,148 143.35,0.14
